day,start_time,end_time,type,subject_id,division,batch,faculty_id
Monday,3:00 PM,4:00 PM,theory,DJS22ITC301,I2,,664a0d49-edf6-4715-950d-1a8dd01fb415
Tuesday,8:00 AM,9:00 AM,theory,DJS22ITC301,I1,,664a0d49-edf6-4715-950d-1a8dd01fb415
Wednesday,2:30 PM,3:30 PM,theory,DJS22ITC301,I2,,664a0d49-edf6-4715-950d-1a8dd01fb415
Wednesday,3:30 PM,4:30 PM,theory,DJS22ITC301,I2,,664a0d49-edf6-4715-950d-1a8dd01fb415
Friday,12:00 PM,1:00 PM,theory,DJS22ITC301,I1,,664a0d49-edf6-4715-950d-1a8dd01fb415
Friday,9:00 AM,10:00 AM,theory,DJS22ITC301,I2,,664a0d49-edf6-4715-950d-1a8dd01fb415
Saturday,11:00 AM,12:00 PM,theory,DJS22ITC301,I1,,664a0d49-edf6-4715-950d-1a8dd01fb415
Saturday,3:30 PM,4:30 PM,theory,DJS22ITC301,I1,,664a0d49-edf6-4715-950d-1a8dd01fb415
