day,start_time,end_time,type,subject_id,division,batch,faculty_id
Monday,2:30 PM,3:30 PM,theory,DJ19ITC505,I1,,664a0d49-edf6-4715-950d-1a8dd01fb409
Thursday,10:00 AM,11:00 AM,theory,DJ19ITC505,I2,,664a0d49-edf6-4715-950d-1a8dd01fb409
Friday,2:30 PM,3:30 PM,theory,DJ19ITC505,I2,,664a0d49-edf6-4715-950d-1a8dd01fb409
Saturday,12:30 PM,1:30 PM,theory,DJ19ITC505,I1,,664a0d49-edf6-4715-950d-1a8dd01fb409
Saturday,8:00 AM,10:00 AM,practical,DJ19ITC505,I1,1,664a0d49-edf6-4715-950d-1a8dd01fb409
Tuesday,8:00 AM,10:00 AM,practical,DJ19ITC505,I2,1,664a0d49-edf6-4715-950d-1a8dd01fb409
Tuesday,10:00 AM,12:00 PM,practical,DJ19ITC505,I2,2,664a0d49-edf6-4715-950d-1a8dd01fb409
